video_id,title,upload_date,duration,view_count,like_count,channel,channel_id
gXbsq5nVmT0,Joe Rogan Experience #2408 - Bret Weinstein,20251108,11283,1133886,21229,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
0loSsJ1mHVE,Joe Rogan Experience #2407 - Billy Bob Thornton,20251107,10708,1386465,29119,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
P4G2KGEkSyI,Joe Rogan Experience #2406 - Russell Crowe,20251105,10695,1481331,29927,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
J1WyFLHPqro,Joe Rogan Experience #2405 - Luis J Gomez & Big Jay Oakerson,20251104,10365,754073,12329,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
O4wBUysNe2k,Joe Rogan Experience #2404 - Elon Musk,20251031,11906,9031807,202120,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
IErO3RuGTXE,Joe Rogan Experience #2403 - Andrew Gallimore,20251030,9317,587572,9443,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
oTwB8R6qmm8,Joe Rogan Experience #2402 - Miranda Lambert,20251029,8987,566404,9496,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
EaAun27gftk,Joe Rogan Experience #2401 - Avi Loeb,20251028,8095,2061935,44909,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
TZu7jymfHrU,Joe Rogan Experience #2400 - Katee Sackhoff,20251025,9126,762107,13973,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
HwpYMYnAsz4,Joe Rogan Experience #2399 - Daryl Davis & Jeff Schoep,20251023,8238,603930,10791,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
0sdLHGb5Wzs,Joe Rogan Experience #2398 - Francis Foster & Konstantin Kisin,20251022,10628,1390043,27060,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
Zt32chvO_iY,Joe Rogan Experience #2397 - Richard Lindzen & William Happer,20251021,7898,1061057,19728,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
ko5htRmVIrU,Joe Rogan Experience #2396 - Andrew Schulz,20251018,12966,1843959,25098,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
5P4Mu4X_zk4,Joe Rogan Experience #2395 - Mariana van Zeller,20251017,10192,819719,12682,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
-9LFj6YOK2U,Joe Rogan Experience #2394 - Palmer Luckey,20251016,11024,1730162,37377,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
TvuQr0g5oXI,Joe Rogan Experience #2393 - Bryan Callen,20251015,10087,747261,10147,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
TZqADzuu73g,Joe Rogan Experience #2392 - John Kiriakou,20251010,9065,2813478,61035,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
idMttGtm76M,Joe Rogan Experience #2391 - Duncan Trussell,20251009,9716,1109869,17847,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
mpVrOM66khc,Joe Rogan Experience #2390 - Jack Carr,20251008,9213,568136,8505,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
J4gQ7k6meHs,Joe Rogan Experience #2389 - Sal Vulcano,20251007,9922,827727,13106,PowerfulJRE,UCzQUP1qoWDoEbmsQxvdjxgQ
