video_id,upload_date,duration,view_count,like_count
gXbsq5nVmT0,20251108,11283,1133886,21229
0loSsJ1mHVE,20251107,10708,1386465,29119
P4G2KGEkSyI,20251105,10695,1481331,29927
J1WyFLHPqro,20251104,10365,754073,12329
O4wBUysNe2k,20251031,11906,9031807,202120
IErO3RuGTXE,20251030,9317,587572,9443
oTwB8R6qmm8,20251029,8987,566404,9496
EaAun27gftk,20251028,8095,2061935,44909
TZu7jymfHrU,20251025,9126,762107,13973
HwpYMYnAsz4,20251023,8238,603930,10791
0sdLHGb5Wzs,20251022,10628,1390043,27060
Zt32chvO_iY,20251021,7898,1061057,19728
ko5htRmVIrU,20251018,12966,1843959,25098
5P4Mu4X_zk4,20251017,10192,819719,12682
-9LFj6YOK2U,20251016,11024,1730162,37377
TvuQr0g5oXI,20251015,10087,747261,10147
TZqADzuu73g,20251010,9065,2813478,61035
idMttGtm76M,20251009,9716,1109869,17847
mpVrOM66khc,20251008,9213,568136,8505
J4gQ7k6meHs,20251007,9922,827727,13106
